INVOICE_NUMBER,DATE,VENDOR_NUMBER,VENDORNAME,INVOICE_DESCRIPTION,ACCOUNT_DESCRIPTION,DEPTNAME,DEPTNUM,SUBDEPTNAME,SUBDEPTNUM,FYR,AMOUNT
01-3529733,13-FEB-15,3770,APPLEONE EMPLOYMENT SERVICES,STAFFING/TEMPORARY SERVICES,GENERAL FUND-Police-Patrol-Crime Prevention-Outside services-personnel,Police,0800,Police-Patrol-Crime Prevention,0800-0836,Fiscal 14/15,1663.2
2015-00002666,13-FEB-15,428,AT&T,"UTILITIES, TELEPHONE",GENERAL FUND-Police-Patrol-Crime Prevention-Communication,Police,0800,Police-Patrol-Crime Prevention,0800-0836,Fiscal 14/15,16.87
288504,13-FEB-15,448,NEVADA RUBBER STAMP CO INC,OFFICE SUPPLIES,GENERAL FUND-Police-Patrol-Crime Prevention-Supplies,Police,0800,Police-Patrol-Crime Prevention,0800-0836,Fiscal 14/15,23
138236,13-FEB-15,25331,OFFICEMAX,OFFICE SUPPLIES,GENERAL FUND-Police-Patrol-Crime Prevention-Supplies,Police,0800,Police-Patrol-Crime Prevention,0800-0836,Fiscal 14/15,294.78
226239,13-FEB-15,2769,"PROFORCE MARKETING, INC",POLICE EQUIPMENT,GENERAL FUND-Police-Patrol-Crime Prevention-Supplies,Police,0800,Police-Patrol-Crime Prevention,0800-0836,Fiscal 14/15,1417.95
SI1386085,13-FEB-15,30287,TASER INTERNATIONAL INC.,BATTERIES,GENERAL FUND-Police-Patrol-Crime Prevention-Supplies,Police,0800,Police-Patrol-Crime Prevention,0800-0836,Fiscal 14/15,40.75
F34654,13-FEB-15,5794,,OFFICE SUPPLIES,GENERAL FUND-Police-Patrol-Crime Prevention-Supplies,Police,0800,Police-Patrol-Crime Prevention,0800-0836,Fiscal 14/15,659.01
01-3529733,13-FEB-15,3770,APPLEONE EMPLOYMENT SERVICES,STAFFING/TEMPORARY SERVICES,GENERAL FUND-Police-Patrol-Gang Enforcement-Outside services-personnel,Police,0800,Police-Patrol-Gang Enforcement,0800-0837,Fiscal 14/15,1421.28
211-00000219837,13-FEB-15,7621,KELLY MOORE PAINT CO INC,PAINT - Graffitti,GENERAL FUND-Police-Patrol-Gang Enforcement-Supplies,Police,0800,Police-Patrol-Gang Enforcement,0800-0837,Fiscal 14/15,113
211-00000219764,13-FEB-15,7621,KELLY MOORE PAINT CO INC,PAINT - Graffitti,GENERAL FUND-Police-Patrol-Gang Enforcement-Supplies,Police,0800,Police-Patrol-Gang Enforcement,0800-0837,Fiscal 14/15,179.52
211-00000219283,13-FEB-15,7621,KELLY MOORE PAINT CO INC,PAINT - Graffitti,GENERAL FUND-Police-Patrol-Gang Enforcement-Supplies,Police,0800,Police-Patrol-Gang Enforcement,0800-0837,Fiscal 14/15,66.97
211-00000219652,13-FEB-15,7621,KELLY MOORE PAINT CO INC,PAINT - Graffitti,GENERAL FUND-Police-Patrol-Gang Enforcement-Supplies,Police,0800,Police-Patrol-Gang Enforcement,0800-0837,Fiscal 14/15,113
138236,13-FEB-15,25331,OFFICEMAX,OFFICE SUPPLIES,GENERAL FUND-Police-Patrol-Traffic-Supplies,Police,0800,Police-Patrol-Traffic,0800-0839,Fiscal 14/15,30.25
01-3529733,13-FEB-15,3770,APPLEONE EMPLOYMENT SERVICES,STAFFING/TEMPORARY SERVICES,GENERAL FUND-Police-Program & Service Management-Outside services-personnel,Police,0800,Police-Program & Service Management,0800-0001,Fiscal 14/15,172.8
95793,13-FEB-15,137,COSTCO,"FOOD, Police Department",GENERAL FUND-Police-Program & Service Management-Miscellaneous operating expense,Police,0800,Police-Program & Service Management,0800-0001,Fiscal 14/15,84.93
1218,13-FEB-15,11512,DAYS INN,GRANTS,GENERAL FUND-Police-Program & Service Management-Non-city programs,Police,0800,Police-Program & Service Management,0800-0001,Fiscal 14/15,30
1221,13-FEB-15,11512,DAYS INN,GRANTS,GENERAL FUND-Police-Program & Service Management-Non-city programs,Police,0800,Police-Program & Service Management,0800-0001,Fiscal 14/15,44.99
10819,13-FEB-15,4184,GREAT BASIN BICYCLES INC,"BICYCLES, New",GENERAL FUND-Police-Program & Service Management-Drug forfeiture-expense,Police,0800,Police-Program & Service Management,0800-0001,Fiscal 14/15,1487.04
124483,13-FEB-15,2724,JOHNSON ROBERTS & ASSOC,PERSONNEL/HIRING COSTS,GENERAL FUND-Police-Program & Service Management-Outside services-other,Police,0800,Police-Program & Service Management,0800-0001,Fiscal 14/15,47
11260,13-FEB-15,17913,KAHL COMMERCIAL INTERIORS,PD - Furniture,GENERAL FUND-Police-Program & Service Management-Drug forfeiture-expense,Police,0800,Police-Program & Service Management,0800-0001,Fiscal 14/15,285
11260,13-FEB-15,17913,KAHL COMMERCIAL INTERIORS,PD - Furniture,GENERAL FUND-Police-Program & Service Management-Drug forfeiture-expense,Police,0800,Police-Program & Service Management,0800-0001,Fiscal 14/15,1029.05
11260,13-FEB-15,17913,KAHL COMMERCIAL INTERIORS,PD - Furniture,GENERAL FUND-Police-Program & Service Management-Drug forfeiture-expense,Police,0800,Police-Program & Service Management,0800-0001,Fiscal 14/15,1219.35
11260,13-FEB-15,17913,KAHL COMMERCIAL INTERIORS,PD - Furniture,GENERAL FUND-Police-Program & Service Management-Drug forfeiture-expense,Police,0800,Police-Program & Service Management,0800-0001,Fiscal 14/15,543.95
138236,13-FEB-15,25331,OFFICEMAX,OFFICE SUPPLIES,GENERAL FUND-Police-Program & Service Management-Supplies,Police,0800,Police-Program & Service Management,0800-0001,Fiscal 14/15,30.25
138236,13-FEB-15,25331,OFFICEMAX,OFFICE SUPPLIES,GENERAL FUND-Police-Program & Service Management-Supplies,Police,0800,Police-Program & Service Management,0800-0001,Fiscal 14/15,372.37
138412,13-FEB-15,25331,OFFICEMAX,OFFICE SUPPLIES,GENERAL FUND-Police-Program & Service Management-Supplies,Police,0800,Police-Program & Service Management,0800-0001,Fiscal 14/15,16.37
2015-00002648,13-FEB-15,1073,PUBLIC AGENCY TRAINING COUNCIL,GRANTS,GENERAL FUND-Police-Program & Service Management-Non-city programs,Police,0800,Police-Program & Service Management,0800-0001,Fiscal 14/15,590
PPE 2/5/2015,13-FEB-15,9655,RPSAE,INSURANCE,GENERAL FUND-Police-Program & Service Management-Budget changes-salaries,Police,0800,Police-Program & Service Management,0800-0001,Fiscal 14/15,4523
9739390432,13-FEB-15,1343,VERIZON WIRELESS,CELLULAR SERVICES - WIRELESS CARDS,GENERAL FUND-Police-Program & Service Management-Non-city programs,Police,0800,Police-Program & Service Management,0800-0001,Fiscal 14/15,31.59
9739390432,13-FEB-15,1343,VERIZON WIRELESS,CELLULAR SERVICES - WIRELESS CARDS,GENERAL FUND-Police-Program & Service Management-Communication,Police,0800,Police-Program & Service Management,0800-0001,Fiscal 14/15,78.97
I14-143175,13-FEB-15,5839,,TRAINING,GENERAL FUND-Police-Program & Service Management-Employee training/travel,Police,0800,Police-Program & Service Management,0800-0001,Fiscal 14/15,95
I14-139782,13-FEB-15,5839,,TRAINING,GENERAL FUND-Police-Program & Service Management-Employee training/travel,Police,0800,Police-Program & Service Management,0800-0001,Fiscal 14/15,125
20112045,13-FEB-15,5372,,ALARM SERVICES,GENERAL FUND-Police-Program & Service Management-Outside services-other,Police,0800,Police-Program & Service Management,0800-0001,Fiscal 14/15,16097.17
150077,13-FEB-15,5351,,PD - License Renewal,GENERAL FUND-Police-Program & Service Management-Outside services-other,Police,0800,Police-Program & Service Management,0800-0001,Fiscal 14/15,6197.98
I14-144614,13-FEB-15,5839,,TRAINING,GENERAL FUND-Police-Program & Service Management-Employee training/travel,Police,0800,Police-Program & Service Management,0800-0001,Fiscal 14/15,95
DIAL,13-FEB-15,6427,,TRAINING,GENERAL FUND-Police-Program & Service Management-Non-city programs,Police,0800,Police-Program & Service Management,0800-0001,Fiscal 14/15,80
I14-145485,13-FEB-15,5839,,TRAINING,GENERAL FUND-Police-Program & Service Management-Employee training/travel,Police,0800,Police-Program & Service Management,0800-0001,Fiscal 14/15,295
01-3529733,13-FEB-15,3770,APPLEONE EMPLOYMENT SERVICES,STAFFING/TEMPORARY SERVICES,GENERAL FUND-Police-Records & ID-Outside services-personnel,Police,0800,Police-Records & ID,0800-0825,Fiscal 14/15,921.6
138236,13-FEB-15,25331,OFFICEMAX,OFFICE SUPPLIES,GENERAL FUND-Police-Records & ID-Supplies,Police,0800,Police-Records & ID,0800-0825,Fiscal 14/15,181.5
1042834612,13-FEB-15,14300,ASCE/MEMBERSHIP,FEES,SANITARY SEWER O/M FUND-Public Works-Capital Projects-Miscellaneous operating expense,Public Works,1200,Public Works-Capital Projects,1200-1200,Fiscal 14/15,250
RW25123,13-FEB-15,17179,CDW-G GOVERNMENT INC,"COMPUTERS, Software",GENERAL FUND-Public Works-Capital Projects-Outside services-other,Public Works,1200,Public Works-Capital Projects,1200-1200,Fiscal 14/15,234.5
77941,13-FEB-15,5299,SILVER STATE BARRICADE & SIGN,ENGINEERING/DRAFTING/SURVEYING EQUIPMENT/SUPPLIES,SANITARY SEWER O/M FUND-Public Works-Capital Projects-Supplies,Public Works,1200,Public Works-Capital Projects,1200-1200,Fiscal 14/15,15.94
SALES0005023,13-FEB-15,2394,High Sierra Industries,STAFFING/TEMPORARY SERVICES,GENERAL FUND-Public Works-Downtown Maintenance-Outside services-other,Public Works,1200,Public Works-Downtown Maintenance,1200-1280,Fiscal 14/15,8167.16
89888,13-FEB-15,3318,ALPHA ANALYTICAL INC,ENVIRONMENTAL SERVICES/SUPPLIES,SANITARY SEWER O/M FUND-Public Works-Environmental Control-Outside services-other,Public Works,1200,Public Works-Environmental Control,1200-1270,Fiscal 14/15,795
89886,13-FEB-15,3318,ALPHA ANALYTICAL INC,ENVIRONMENTAL SERVICES/SUPPLIES,SANITARY SEWER O/M FUND-Public Works-Environmental Control-Outside services-other,Public Works,1200,Public Works-Environmental Control,1200-1270,Fiscal 14/15,287.5
89887,13-FEB-15,3318,ALPHA ANALYTICAL INC,ENVIRONMENTAL SERVICES/SUPPLIES,SANITARY SEWER O/M FUND-Public Works-Environmental Control-Outside services-other,Public Works,1200,Public Works-Environmental Control,1200-1270,Fiscal 14/15,143.75
2015-00002666,13-FEB-15,428,AT&T,"UTILITIES, TELEPHONE",GENERAL FUND-Public Works-Facility Maintenance-Communication,Public Works,1200,Public Works-Facility Maintenance,1200-1210,Fiscal 14/15,11.87
CFS0948525,13-FEB-15,5317,FLYERS ENERGY LLC,FUELS/GAS/DIESEL/PROPANE,FLEET MANAGEMENT FUND-Public Works-Fleet Management-Supplies-m.v. fuel,Public Works,1200,Public Works-Fleet Management,1200-1216,Fiscal 14/15,206.71
CFS0948792,13-FEB-15,5317,FLYERS ENERGY LLC,FUELS/GAS/DIESEL/PROPANE,FLEET MANAGEMENT FUND-Public Works-Fleet Management-Supplies-m.v. fuel,Public Works,1200,Public Works-Fleet Management,1200-1216,Fiscal 14/15,116.34
510667,13-FEB-15,328,JONES WEST FORD,Engine repairs to vehicle 240116 (sole source),FLEET MANAGEMENT FUND-Public Works-Fleet Management-Supplies,Public Works,1200,Public Works-Fleet Management,1200-1216,Fiscal 14/15,3029.51
510667,13-FEB-15,328,JONES WEST FORD,Engine repairs to vehicle 240116 (sole source),FLEET MANAGEMENT FUND-Public Works-Fleet Management-Outside services-vehicle labor,Public Works,1200,Public Works-Fleet Management,1200-1216,Fiscal 14/15,1483.5
302274,13-FEB-15,1176,NATIONAL TOW & ROAD SERVICE,TOWING,FLEET MANAGEMENT FUND-Public Works-Fleet Management-Outside services-vehicle labor,Public Works,1200,Public Works-Fleet Management,1200-1216,Fiscal 14/15,40
173278,13-FEB-15,553,RENO DRAIN & OIL SERVICE,ENVIRONMENTAL SERVICES/SUPPLIES,FLEET MANAGEMENT FUND-Public Works-Fleet Management-Outside services-other,Public Works,1200,Public Works-Fleet Management,1200-1216,Fiscal 14/15,30
99343948,13-FEB-15,30016,SIERRA BMW MOTORCYCLE,"MOTORCYCLES, Service",FLEET MANAGEMENT FUND-Public Works-Fleet Management-Outside services-vehicle labor,Public Works,1200,Public Works-Fleet Management,1200-1216,Fiscal 14/15,23.75
99343948,13-FEB-15,30016,SIERRA BMW MOTORCYCLE,"MOTORCYCLES, Service",FLEET MANAGEMENT FUND-Public Works-Fleet Management-Supplies,Public Works,1200,Public Works-Fleet Management,1200-1216,Fiscal 14/15,20.39
1548583-IN,13-FEB-15,5364,,FUELS/GAS/DIESEL/PROPANE,FLEET MANAGEMENT FUND-Public Works-Fleet Management-Supplies-m.v. fuel,Public Works,1200,Public Works-Fleet Management,1200-1216,Fiscal 14/15,12546.03
1551198-IN,13-FEB-15,5364,,FUELS/GAS/DIESEL/PROPANE,FLEET MANAGEMENT FUND-Public Works-Fleet Management-Supplies-m.v. fuel,Public Works,1200,Public Works-Fleet Management,1200-1216,Fiscal 14/15,891.75
1042,13-FEB-15,6510,,"OILS/LUBRICANTS, AUTOMOTIVE",FLEET MANAGEMENT FUND-Public Works-Fleet Management-Supplies,Public Works,1200,Public Works-Fleet Management,1200-1216,Fiscal 14/15,2451.4
1550539-IN,13-FEB-15,5364,,FUELS/GAS/DIESEL/PROPANE,FLEET MANAGEMENT FUND-Public Works-Fleet Management-Supplies-m.v. fuel,Public Works,1200,Public Works-Fleet Management,1200-1216,Fiscal 14/15,11385.59
1549943-IN,13-FEB-15,5364,,FUELS/GAS/DIESEL/PROPANE,FLEET MANAGEMENT FUND-Public Works-Fleet Management-Supplies-m.v. fuel,Public Works,1200,Public Works-Fleet Management,1200-1216,Fiscal 14/15,2938.78
14931,13-FEB-15,6558,,CONTRACTORS,ROOM SURCHARGE (AB 376) CAP PRJ-Public Works-Non-Departmental-Capital outlay-non capitilized,Public Works,1200,Public Works-Non-Departmental,1200-9999,Fiscal 14/15,510
179031,13-FEB-15,6355,FLINT TRADING INC,STREET MAINTENANCE SUPPLIES,STREET FUND-Public Works-Paint & Sign-Supplies,Public Works,1200,Public Works-Paint & Sign,1200-1212,Fiscal 14/15,198.27
9645578999,13-FEB-15,707,GRAINGER,STREET MAINTENANCE SUPPLIES,STREET FUND-Public Works-Paint & Sign-Supplies,Public Works,1200,Public Works-Paint & Sign,1200-1212,Fiscal 14/15,105.6
INV000007,13-FEB-15,45261,HAWKINS TRAFFIC SAFETY SUPPLY,STREET MAINTENANCE SUPPLIES,STREET FUND-Public Works-Paint & Sign-Supplies,Public Works,1200,Public Works-Paint & Sign,1200-1212,Fiscal 14/15,268.4
8003298,13-FEB-15,2250,TITAN CONSTRUCTION SUPPLY INC,STREET MAINTENANCE SUPPLIES,STREET FUND-Public Works-Paint & Sign-Supplies,Public Works,1200,Public Works-Paint & Sign,1200-1212,Fiscal 14/15,78
247059,13-FEB-15,2250,TITAN CONSTRUCTION SUPPLY INC,STREET MAINTENANCE SUPPLIES,STREET FUND-Public Works-Paint & Sign-Supplies,Public Works,1200,Public Works-Paint & Sign,1200-1212,Fiscal 14/15,308.66
92,13-FEB-15,17965,BOARD OF REGENTS-TMCC,TRAINING,STREET FUND-Public Works-Pavement Maintenance-Employee training/travel,Public Works,1200,Public Works-Pavement Maintenance,1200-1219,Fiscal 14/15,320
15-047585,13-FEB-15,5317,FLYERS ENERGY LLC,STREET MAINTENANCE SUPPLIES,STREET FUND-Public Works-Pavement Maintenance-Supplies,Public Works,1200,Public Works-Pavement Maintenance,1200-1219,Fiscal 14/15,369.6
9640150208,13-FEB-15,707,GRAINGER,SHOP EQUIPMENT/SUPPLIES,STREET FUND-Public Works-Pavement Maintenance-Supplies,Public Works,1200,Public Works-Pavement Maintenance,1200-1219,Fiscal 14/15,48.02
9639712612,13-FEB-15,707,GRAINGER,SHOP EQUIPMENT/SUPPLIES,STREET FUND-Public Works-Pavement Maintenance-Supplies,Public Works,1200,Public Works-Pavement Maintenance,1200-1219,Fiscal 14/15,44.19
9640519642,13-FEB-15,707,GRAINGER,SHOP EQUIPMENT/SUPPLIES,STREET FUND-Public Works-Pavement Maintenance-Supplies,Public Works,1200,Public Works-Pavement Maintenance,1200-1219,Fiscal 14/15,20
9646163759,13-FEB-15,707,GRAINGER,SHOP EQUIPMENT/SUPPLIES,STREET FUND-Public Works-Pavement Maintenance-Supplies,Public Works,1200,Public Works-Pavement Maintenance,1200-1219,Fiscal 14/15,69.52
9645578981,13-FEB-15,707,GRAINGER,SHOP EQUIPMENT/SUPPLIES,STREET FUND-Public Works-Pavement Maintenance-Supplies,Public Works,1200,Public Works-Pavement Maintenance,1200-1219,Fiscal 14/15,2.56
9639398933,13-FEB-15,707,GRAINGER,SHOP EQUIPMENT/SUPPLIES,STREET FUND-Public Works-Pavement Maintenance-Supplies,Public Works,1200,Public Works-Pavement Maintenance,1200-1219,Fiscal 14/15,51.88
9638825928,13-FEB-15,707,GRAINGER,SHOP EQUIPMENT/SUPPLIES,STREET FUND-Public Works-Pavement Maintenance-Supplies,Public Works,1200,Public Works-Pavement Maintenance,1200-1219,Fiscal 14/15,68.4
237147,13-FEB-15,2250,TITAN CONSTRUCTION SUPPLY INC,STREET MAINTENANCE SUPPLIES,STREET FUND-Public Works-Pavement Maintenance-Supplies,Public Works,1200,Public Works-Pavement Maintenance,1200-1219,Fiscal 14/15,51.95
247101,13-FEB-15,2250,TITAN CONSTRUCTION SUPPLY INC,SHOP EQUIPMENT/SUPPLIES,STREET FUND-Public Works-Pavement Maintenance-Supplies,Public Works,1200,Public Works-Pavement Maintenance,1200-1219,Fiscal 14/15,343.46
4671273,13-FEB-15,5733,,SHOP EQUIPMENT/SUPPLIES,STREET FUND-Public Works-Pavement Maintenance-Supplies,Public Works,1200,Public Works-Pavement Maintenance,1200-1219,Fiscal 14/15,40.1
0139044,13-FEB-15,4541,CAROLLO ENGINEERS,CONSULTING SERVICES,SANITARY SEWER O/M FUND-Public Works-Plants Capital Projects-Capital projects,Public Works,1200,Public Works-Plants Capital Projects,1200-1243,Fiscal 14/15,2630
0139038,13-FEB-15,4541,CAROLLO ENGINEERS,CONSULTING SERVICES,SANITARY SEWER CAPITAL PROJECTS-Public Works-Plants Capital Projects-Capital projects,Public Works,1200,Public Works-Plants Capital Projects,1200-1243,Fiscal 14/15,3443.51
0139038,13-FEB-15,4541,CAROLLO ENGINEERS,CONSULTING SERVICES,SANITARY SEWER O/M FUND-Public Works-Plants Capital Projects-Capital projects,Public Works,1200,Public Works-Plants Capital Projects,1200-1243,Fiscal 14/15,13774.05
10-I100065,13-FEB-15,571,K G WALTERS CONST CO INC,CONTRACTORS,SANITARY SEWER O/M FUND-Public Works-Plants Capital Projects-Capital projects,Public Works,1200,Public Works-Plants Capital Projects,1200-1243,Fiscal 14/15,25096.36
10-I100065,13-FEB-15,571,K G WALTERS CONST CO INC,CONTRACTORS,SANITARY SEWER CAPITAL PROJECTS-Public Works-Plants Capital Projects-Capital projects,Public Works,1200,Public Works-Plants Capital Projects,1200-1243,Fiscal 14/15,6274.09
2988,13-FEB-15,6188,,CONSULTING SERVICES,SANITARY SEWER O/M FUND-Public Works-Plants Capital Projects-Capital projects,Public Works,1200,Public Works-Plants Capital Projects,1200-1243,Fiscal 14/15,3424.73
01-3529729,13-FEB-15,3770,APPLEONE EMPLOYMENT SERVICES,PERSONNEL/HIRING COSTS,GENERAL FUND-Public Works-Property Management-Outside services-personnel,Public Works,1200,Public Works-Property Management,1200-1290,Fiscal 14/15,359.45
01-3522130,13-FEB-15,3770,APPLEONE EMPLOYMENT SERVICES,PERSONNEL/HIRING COSTS,GENERAL FUND-Public Works-Property Management-Outside services-personnel,Public Works,1200,Public Works-Property Management,1200-1290,Fiscal 14/15,359.45
1805334,13-FEB-15,5206,ATKINS NORTH AMERICA INC,CONSULTING SERVICES,SANITARY SEWER O/M FUND-Public Works-Sanitary Engineering-Outside services-other,Public Works,1200,Public Works-Sanitary Engineering,1200-1240,Fiscal 14/15,167.5
11922,13-FEB-15,395,NEVADA STATE DIVISION OF STATE LANDS,FEES,SANITARY SEWER O/M FUND-Public Works-Sanitary Engineering-Miscellaneous operating expense,Public Works,1200,Public Works-Sanitary Engineering,1200-1240,Fiscal 14/15,551
71133446-001,13-FEB-15,6395,,STAFFING/TEMPORARY SERVICES,SANITARY SEWER O/M FUND-Public Works-Sanitary Engineering-Outside services-personnel,Public Works,1200,Public Works-Sanitary Engineering,1200-1240,Fiscal 14/15,7.56
6330887,13-FEB-15,6482,,CONSULTING SERVICES,SANITARY SEWER O/M FUND-Public Works-Sanitary Engineering-Outside services-other,Public Works,1200,Public Works-Sanitary Engineering,1200-1240,Fiscal 14/15,8630.46
71133446-001,13-FEB-15,6395,,STAFFING/TEMPORARY SERVICES,SANITARY SEWER O/M FUND-Public Works-Sanitary Engineering-Outside services-personnel,Public Works,1200,Public Works-Sanitary Engineering,1200-1240,Fiscal 14/15,105.88
190868587,13-FEB-15,2627,BASALITE,REFUND,SANITARY SEWER O/M FUND-Public Works-Sewer & Storm Drain Maintenance-Supplies,Public Works,1200,Public Works-Sewer & Storm Drain Maintenance,1200-1215,Fiscal 14/15,398.04
190868581,13-FEB-15,2627,BASALITE,SEWER MAINTENANCE SUPPLIES,SANITARY SEWER O/M FUND-Public Works-Sewer & Storm Drain Maintenance-Supplies,Public Works,1200,Public Works-Sewer & Storm Drain Maintenance,1200-1215,Fiscal 14/15,-13
351-120357-01,13-FEB-15,9971,BATTERIES PLUS,SEWER MAINTENANCE SUPPLIES,SANITARY SEWER O/M FUND-Public Works-Sewer & Storm Drain Maintenance-Supplies,Public Works,1200,Public Works-Sewer & Storm Drain Maintenance,1200-1215,Fiscal 14/15,129
92,13-FEB-15,17965,BOARD OF REGENTS-TMCC,TRAINING,SANITARY SEWER O/M FUND-Public Works-Sewer & Storm Drain Maintenance-Employee training/travel,Public Works,1200,Public Works-Sewer & Storm Drain Maintenance,1200-1215,Fiscal 14/15,320
XJMFJRR57,13-FEB-15,8855,DELL COMPUTER CORP,Computer for Corp Yard Conference Room,SANITARY SEWER O/M FUND-Public Works-Sewer & Storm Drain Maintenance-Supplies-to be tracked,Public Works,1200,Public Works-Sewer & Storm Drain Maintenance,1200-1215,Fiscal 14/15,600.32
9647179077,13-FEB-15,707,GRAINGER,SEWER MAINTENANCE SUPPLIES,SANITARY SEWER O/M FUND-Public Works-Sewer & Storm Drain Maintenance-Supplies,Public Works,1200,Public Works-Sewer & Storm Drain Maintenance,1200-1215,Fiscal 14/15,16.76
9647179085,13-FEB-15,707,GRAINGER,SEWER MAINTENANCE SUPPLIES,SANITARY SEWER O/M FUND-Public Works-Sewer & Storm Drain Maintenance-Supplies,Public Works,1200,Public Works-Sewer & Storm Drain Maintenance,1200-1215,Fiscal 14/15,67.95
SP27778,13-FEB-15,1152,JENSEN PRECAST,SEWER MAINTENANCE SUPPLIES,SANITARY SEWER O/M FUND-Public Works-Sewer & Storm Drain Maintenance-Supplies,Public Works,1200,Public Works-Sewer & Storm Drain Maintenance,1200-1215,Fiscal 14/15,1470
SP27817,13-FEB-15,1152,JENSEN PRECAST,SEWER MAINTENANCE SUPPLIES,SANITARY SEWER O/M FUND-Public Works-Sewer & Storm Drain Maintenance-Supplies,Public Works,1200,Public Works-Sewer & Storm Drain Maintenance,1200-1215,Fiscal 14/15,429
558867,13-FEB-15,9727,NAPA AUTO & TRUCK PARTS,SEWER MAINTENANCE SUPPLIES,SANITARY SEWER O/M FUND-Public Works-Sewer & Storm Drain Maintenance-Supplies,Public Works,1200,Public Works-Sewer & Storm Drain Maintenance,1200-1215,Fiscal 14/15,146.48
01-351382,13-FEB-15,4709,"R&E FASTENERS, INC.",SEWER MAINTENANCE SUPPLIES,SANITARY SEWER O/M FUND-Public Works-Sewer & Storm Drain Maintenance-Supplies,Public Works,1200,Public Works-Sewer & Storm Drain Maintenance,1200-1215,Fiscal 14/15,217.8
2015-00002668,13-FEB-15,8277,TMWA,"UTILITIES, Water",SANITARY SEWER O/M FUND-Public Works-Sewer & Storm Drain Maintenance-Public utility service,Public Works,1200,Public Works-Sewer & Storm Drain Maintenance,1200-1215,Fiscal 14/15,91.71
0000A32W90055,13-FEB-15,19071,UNITED PARCEL SERVICE,FREIGHT/SHIPPING,SANITARY SEWER O/M FUND-Public Works-Sewer & Storm Drain Maintenance-Communication,Public Works,1200,Public Works-Sewer & Storm Drain Maintenance,1200-1215,Fiscal 14/15,120.69
16128230,13-FEB-15,735,WESTERN NEVADA SUPPLY,SEWER MAINTENANCE SUPPLIES,SANITARY SEWER O/M FUND-Public Works-Sewer & Storm Drain Maintenance-Supplies,Public Works,1200,Public Works-Sewer & Storm Drain Maintenance,1200-1215,Fiscal 14/15,250.4
S-063719,13-FEB-15,1939,CALIFORNIA INDUSTRIAL RUBBER,STREET MAINTENANCE SUPPLIES,STREET FUND-Public Works-Snow & Ice Control-Supplies,Public Works,1200,Public Works-Snow & Ice Control,1200-1250,Fiscal 14/15,106.44
14286,13-FEB-15,6127,,Front End Loader rentals used to load salt/sand for snow removal,STREET FUND-Public Works-Snow & Ice Control-Rentals,Public Works,1200,Public Works-Snow & Ice Control,1200-1250,Fiscal 14/15,3375
14287,13-FEB-15,6127,,Front End Loader rentals used to load salt/sand for snow removal,STREET FUND-Public Works-Snow & Ice Control-Rentals,Public Works,1200,Public Works-Snow & Ice Control,1200-1250,Fiscal 14/15,3375
14288,13-FEB-15,6127,,Front End Loader rentals used to load salt/sand for snow removal,STREET FUND-Public Works-Snow & Ice Control-Rentals,Public Works,1200,Public Works-Snow & Ice Control,1200-1250,Fiscal 14/15,3375
43728,13-FEB-15,6101,,De-icing sand for storms,STREET FUND-Public Works-Snow & Ice Control-Supplies,Public Works,1200,Public Works-Snow & Ice Control,1200-1250,Fiscal 14/15,1172.5904
7665453 020115,13-FEB-15,623,ALHAMBRA AND SIERRA SPRINGS,"WATER, BOTTLED",SANITARY SEWER O/M FUND-Public Works-Stead Wastwater Facility-Outside services-other,Public Works,1200,Public Works-Stead Wastwater Facility,1200-1241,Fiscal 14/15,42.07
841348,13-FEB-15,5418,L.A. PERKS PLUMBING,EQUIPMENT PARTS/REPAIRS,SANITARY SEWER O/M FUND-Public Works-Stead Wastwater Facility-Outside services-other,Public Works,1200,Public Works-Stead Wastwater Facility,1200-1241,Fiscal 14/15,650
2015-00002666,13-FEB-15,428,AT&T,"UTILITIES, TELEPHONE",GENERAL FUND-Public Works-Traffic Engineering & Operations-Communication,Public Works,1200,Public Works-Traffic Operations,1200-1220,Fiscal 14/15,104
2015-00002647,13-FEB-15,622,NV ENERGY,UTILITIES,STREET FUND-Public Works-Traffic Engineering & Operations-Public utility service,Public Works,1200,Public Works-Traffic Operations,1200-1220,Fiscal 14/15,24462.21
2015-00002669,13-FEB-15,622,NV ENERGY,UTILITIES,STREET FUND-Public Works-Traffic Engineering & Operations-Public utility service,Public Works,1200,Public Works-Traffic Operations,1200-1220,Fiscal 14/15,583.17
3.1.15,13-FEB-15,4004,"WEST STREET VENTURE, LLC.","RENTALS , Buildings/Land",REDEVELOPMENT # 1 GENERAL FUND-Redevelopment-West St. Market-Rentals,Redevelopment,1800,Redevelopment-West St. Market,1800-0080,Fiscal 14/15,12110
COSBL-02-13-2015,12-FEB-15,5334,,BL COLLECTIONS FOR SPARKS,GENERAL FUND-Due to Sparks - Business License Fees,Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,735
WCBL-02-13-2015,12-FEB-15,5335,,BL COLLECTIONS FOR WASHOE CO,GENERAL FUND-Due to Washoe Co - Business License Fees,Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,450
